Repeats,Turns,Go,Old Kent Road,Community Chest,Whitechapel Road,Income Tax,Kings Cross Station,"The Angel, Islington",Chance,Euston Road,Pentonville Road,Jail,Pall Mall,Electric Company,Whitehall,Northumberland Avenue,Marylebone Station,Bow Street,Community Chest,Marlborough Street,Vine Street,Free Parking,Strand,Chance,Fleet Street,Trafalgar Square,Fenchurch Street Station,Leicester Square,Coventry Street,Water Works,Piccadilly,Go to Jail,Regent Street,Oxford Street,Community Chest,Bond Street,Liverpool Street Station,Chance,Park Lane,Super Tax,Mayfair
2000,30,0.02865,0.018833333333333334,0.019133333333333332,0.01975,0.022133333333333335,0.02808333333333333,0.020833333333333332,0.02033333333333333,0.021683333333333332,0.01955,0.054683333333333334,0.0257,0.024066666666666667,0.024433333333333335,0.0244,0.028716666666666668,0.02765,0.028066666666666667,0.026166666666666668,0.029383333333333334,0.02795,0.0269,0.025766666666666667,0.025566666666666668,0.030433333333333333,0.02785,0.025083333333333332,0.024466666666666668,0.025733333333333334,0.024766666666666666,0.025266666666666666,0.0242,0.023833333333333335,0.023533333333333333,0.02155,0.021383333333333334,0.0203,0.020133333333333333,0.019333333333333334,0.0237
2000,30,0.028483333333333333,0.0199,0.01975,0.0201,0.021233333333333333,0.028016666666666665,0.020966666666666668,0.020966666666666668,0.0203,0.020433333333333335,0.0536,0.026033333333333332,0.025383333333333334,0.02295,0.022766666666666668,0.029716666666666666,0.02665,0.0281,0.027,0.0287,0.027033333333333333,0.02655,0.026383333333333335,0.02615,0.0295,0.0293,0.024766666666666666,0.024833333333333332,0.0259,0.02493333333333333,0.023983333333333332,0.024983333333333333,0.024183333333333334,0.024816666666666667,0.0225,0.020566666666666667,0.020166666666666666,0.019233333333333335,0.020383333333333333,0.022783333333333333
2000,30,0.027833333333333335,0.019583333333333335,0.0204,0.020283333333333334,0.021333333333333333,0.027283333333333333,0.020683333333333335,0.0208,0.020683333333333335,0.020633333333333333,0.053116666666666666,0.024966666666666668,0.02525,0.0243,0.024783333333333334,0.029733333333333334,0.026266666666666667,0.0276,0.026366666666666667,0.02835,0.027716666666666667,0.025966666666666666,0.02581666666666667,0.026016666666666667,0.029566666666666668,0.02865,0.025716666666666665,0.0251,0.0262,0.025533333333333335,0.024333333333333332,0.023683333333333334,0.0242,0.024683333333333335,0.022783333333333333,0.020716666666666668,0.02005,0.020033333333333334,0.019583333333333335,0.0234
2000,30,0.027616666666666668,0.019183333333333333,0.020066666666666667,0.019233333333333335,0.022516666666666667,0.027433333333333334,0.020883333333333334,0.020766666666666666,0.0208,0.020566666666666667,0.054283333333333336,0.0253,0.024616666666666665,0.023683333333333334,0.02505,0.02965,0.026333333333333334,0.027416666666666666,0.027166666666666665,0.029116666666666666,0.026016666666666667,0.02695,0.0263,0.0262,0.03,0.029433333333333332,0.02475,0.024416666666666666,0.0266,0.02525,0.024283333333333334,0.023983333333333332,0.0233,0.023916666666666666,0.022233333333333334,0.021633333333333334,0.02035,0.019533333333333333,0.0195,0.023666666666666666
2000,30,0.028133333333333333,0.01905,0.019116666666666667,0.0199,0.022066666666666665,0.027683333333333334,0.0194,0.02155,0.020733333333333333,0.02035,0.054233333333333335,0.0261,0.0247,0.023116666666666667,0.024533333333333334,0.028716666666666668,0.027,0.02725,0.027483333333333332,0.0295,0.0277,0.026316666666666665,0.0259,0.0256,0.03075,0.028383333333333333,0.02505,0.024883333333333334,0.0272,0.025416666666666667,0.024733333333333333,0.024033333333333334,0.023766666666666665,0.024216666666666668,0.02165,0.021983333333333334,0.019966666666666667,0.01965,0.019083333333333334,0.0231
2000,30,0.027716666666666667,0.019616666666666668,0.019633333333333332,0.02095,0.021416666666666667,0.0272,0.020516666666666666,0.020666666666666667,0.02075,0.021233333333333333,0.05478333333333334,0.025516666666666667,0.0244,0.02215,0.02485,0.029966666666666666,0.025883333333333335,0.027916666666666666,0.027583333333333335,0.028666666666666667,0.0265,0.02675,0.027283333333333333,0.026433333333333333,0.029016666666666666,0.027916666666666666,0.0248,0.02455,0.026516666666666668,0.02565,0.024816666666666667,0.0238,0.023533333333333333,0.025766666666666667,0.022183333333333333,0.020133333333333333,0.019533333333333333,0.02005,0.019766666666666665,0.023583333333333335
2000,30,0.027933333333333334,0.0189,0.0202,0.019983333333333332,0.021466666666666665,0.0271,0.02105,0.021383333333333334,0.020233333333333332,0.0209,0.05433333333333333,0.025966666666666666,0.024416666666666666,0.022283333333333332,0.02555,0.028366666666666665,0.027133333333333332,0.028566666666666667,0.026883333333333332,0.028483333333333333,0.026583333333333334,0.026866666666666667,0.025966666666666666,0.0263,0.029366666666666666,0.029366666666666666,0.025933333333333333,0.023816666666666667,0.027016666666666668,0.025416666666666667,0.024266666666666666,0.023566666666666666,0.024216666666666668,0.025316666666666668,0.0225,0.02045,0.020066666666666667,0.019433333333333334,0.01925,0.023166666666666665
2000,30,0.0282,0.0199,0.0191,0.019533333333333333,0.021316666666666668,0.027483333333333332,0.0215,0.022,0.021883333333333334,0.020383333333333333,0.053566666666666665,0.025583333333333333,0.024283333333333334,0.0231,0.0258,0.0295,0.027133333333333332,0.026616666666666667,0.0266,0.02905,0.026516666666666668,0.026316666666666665,0.025716666666666665,0.024883333333333334,0.031066666666666666,0.028716666666666668,0.024866666666666665,0.025883333333333335,0.02585,0.024083333333333335,0.0255,0.025016666666666666,0.024066666666666667,0.024183333333333334,0.02185,0.020733333333333333,0.019633333333333332,0.019366666666666667,0.019383333333333332,0.023833333333333335
3000,20,0.028183333333333335,0.0191,0.020233333333333332,0.020183333333333334,0.02145,0.026316666666666665,0.022433333333333333,0.0208,0.020933333333333335,0.021333333333333333,0.05363333333333333,0.025116666666666666,0.02455,0.022816666666666666,0.02435,0.029433333333333332,0.026833333333333334,0.028583333333333332,0.02723333333333333,0.029033333333333335,0.027816666666666667,0.025733333333333334,0.025716666666666665,0.026383333333333335,0.030616666666666667,0.02895,0.0248,0.025033333333333335,0.025266666666666666,0.02505,0.0239,0.024583333333333332,0.02385,0.024583333333333332,0.02178333333333333,0.02135,0.019666666666666666,0.0193,0.019716666666666667,0.02335
3000,20,0.027366666666666668,0.018816666666666666,0.020583333333333332,0.02036666666666667,0.021983333333333334,0.0276,0.02115,0.02075,0.021,0.021133333333333334,0.05275,0.026116666666666667,0.02575,0.0228,0.023833333333333335,0.0286,0.028033333333333334,0.026933333333333333,0.027016666666666668,0.029,0.027883333333333333,0.02595,0.025866666666666666,0.026383333333333335,0.030333333333333334,0.029166666666666667,0.024766666666666666,0.025283333333333335,0.0255,0.025266666666666666,0.023766666666666665,0.024383333333333333,0.023833333333333335,0.024683333333333335,0.021683333333333332,0.0205,0.01948333333333333,0.0204,0.019033333333333333,0.02425
3000,20,0.028466666666666668,0.018566666666666665,0.019166666666666665,0.01955,0.021866666666666666,0.027033333333333333,0.021583333333333333,0.021666666666666667,0.020516666666666666,0.020866666666666665,0.054816666666666666,0.025866666666666666,0.023483333333333332,0.023566666666666666,0.0246,0.029283333333333335,0.02725,0.027183333333333334,0.026816666666666666,0.028233333333333333,0.02745,0.026383333333333335,0.02695,0.026733333333333335,0.03,0.0288,0.02505,0.023433333333333334,0.0259,0.025833333333333333,0.02415,0.025183333333333332,0.023983333333333332,0.024033333333333334,0.021933333333333332,0.02036666666666667,0.020916666666666667,0.02,0.019016666666666668,0.0235
